Council,Language,Total,Fiction,NonFiction,DVDs/CDs,Magazines / Newspapers,Adult,YoungAdult,Children,Physical,Digital
Bayside,Chinese,633,277,345,11,1,0,0,41,633,0
Bayside,French,321,180,136,5,1,0,0,0,321,0
Bayside,German,286,181,104,1,1,0,0,0,286,0
Bayside,Greek,274,164,97,13,0,0,0,0,274,0
Bayside,Italian,338,202,135,1,0,0,0,0,338,0
Bayside,Japanese,882,579,295,8,2,0,0,0,882,0
Bayside,Russian,571,354,182,35,3,0,0,0,571,0
Boroondara,Afrikaans,6,0,0,0,6,6,0,0,0,6
Boroondara,Arabic,31,0,0,0,31,31,0,0,0,31
Boroondara,Bengali,6,6,0,0,0,6,0,0,0,6
Boroondara,Chinese,13235,7770,3765,1576,124,9589,0,3646,13129,106
Boroondara,Croatian,1,1,0,0,0,1,0,0,0,1
Boroondara,Danish,31,0,0,0,31,31,0,0,0,31
Boroondara,Dutch,180,0,0,0,180,180,0,0,0,180
Boroondara,French,1898,1372,181,164,181,837,0,1061,1718,180
Boroondara,German,116,5,3,0,108,116,0,0,11,105
Boroondara,Greek,1611,1191,259,152,9,1175,0,436,1611,0
Boroondara,Hungarian,2,0,0,0,2,2,0,0,0,2
Boroondara,Indonesian,82,0,0,0,82,82,0,0,0,82
Boroondara,Italian,1132,761,178,131,62,750,0,382,1076,56
Boroondara,Japanese,4,0,0,0,4,4,0,0,0,4
Boroondara,Korean,331,185,142,0,4,316,0,15,327,4
Boroondara,Malayalam,1,0,0,0,1,1,0,0,0,1
Boroondara,Norwegian,18,0,0,0,18,18,0,0,0,18
Boroondara,Portuguese,47,0,0,0,47,47,0,0,0,47
Boroondara,Russian,226,0,0,0,226,226,0,0,0,226
Boroondara,Spanish,44,7,7,0,30,44,0,0,14,30
Boroondara,Swedish,7,3,0,0,4,7,0,0,0,7
Boroondara,Vietnamese,1,0,0,0,1,1,0,0,0,1
Boroondara,Welsh,4,0,0,0,4,4,0,0,0,4
Brimbank,Arabic,434,282,95,51,6,292,0,142,428,6
Brimbank,Bosnian,401,265,61,58,17,375,0,26,401,0
Brimbank,Chinese,5547,2497,1371,1115,564,5173,0,374,4126,1421
Brimbank,Croatian,1590,1121,177,179,113,1556,0,34,1590,0
Brimbank,Farsi,61,0,0,61,0,61,0,0,61,0
Brimbank,French,180,0,0,0,180,180,0,0,0,180
Brimbank,German,105,0,0,0,105,105,0,0,0,105
Brimbank,Greek,1531,1129,144,225,33,1471,0,60,1531,0
Brimbank,Hindi,834,0,0,816,18,834,0,0,834,0
Brimbank,Italian,1476,1002,94,261,119,1373,0,103,1420,56
Brimbank,Macedonian,365,211,75,79,0,347,0,18,365,0
Brimbank,Maltese,969,322,106,541,0,952,0,17,969,0
Brimbank,Panjabi,631,309,112,200,10,585,0,46,631,0
Brimbank,Polish,1611,1147,187,177,100,1579,0,32,1611,0
Brimbank,Serbian,587,384,103,100,0,586,0,1,587,0
Brimbank,Spanish,1670,1036,128,202,304,1543,0,127,1445,225
Brimbank,Tamil,405,295,61,49,0,383,0,22,405,0
Brimbank,Turkish,666,410,131,62,63,643,0,23,666,0
Brimbank,Vietnamese,7884,3690,1670,2399,125,7540,0,344,7884,0
Campaspe,Italian,516,516,0,0,0,0,0,0,516,0
Casey-Cardinia,Chinese,2997,0,0,0,10,0,0,0,0,0
Casey-Cardinia,French,1,0,0,0,1,0,0,0,0,0
Casey-Cardinia,Greek,1,0,0,0,1,0,0,0,0,0
Casey-Cardinia,Gujarati,1,0,0,0,1,0,0,0,0,0
Casey-Cardinia,Hindi,3,0,0,0,3,0,0,0,0,0
Casey-Cardinia,Italian,3,0,0,0,3,0,0,0,0,0
Casey-Cardinia,Malayalam,2,0,0,0,2,0,0,0,0,0
Casey-Cardinia,Panjabi,711,0,0,0,2,0,0,0,0,0
Casey-Cardinia,Persian,770,0,0,0,0,0,0,0,0,0
Casey-Cardinia,Sinhalese,3720,0,0,0,0,0,0,0,0,0
Casey-Cardinia,Tamil,3,0,0,0,3,0,0,0,0,0
Casey-Cardinia,ZZZ - Bilingual,2053,0,0,0,0,0,0,0,0,0
Corangamite,Chinese,4,0,1,3,0,4,0,0,4,0
Darebin,Arabic,1664,1088,187,284,105,1045,0,619,1560,104
Darebin,Chinese,5802,3041,1155,1190,416,4281,0,1521,5390,412
Darebin,Greek,4582,3004,865,691,22,3650,0,932,4575,7
Darebin,Hindi,324,1,0,297,26,323,0,1,301,23
Darebin,Italian,5208,3116,594,1278,220,4294,0,914,4999,209
Darebin,Macedonian,252,223,28,0,1,202,0,50,252,0
Darebin,Somali,72,72,0,0,0,0,0,72,72,0
Darebin,Spanish,2088,535,19,0,1534,1817,0,271,557,1531
Darebin,Vietnamese,2940,1900,644,379,17,1857,0,1083,2934,6
Eastern,Chinese,1801,1556,0,245,0,1196,0,360,1801,0
Frankston,Afrikaans,58,0,0,0,58,0,0,0,0,58
Frankston,Arabic,6,0,0,0,6,0,0,0,0,6
Frankston,Chinese,159,0,0,0,109,0,0,0,3,106
Frankston,Danish,31,0,0,0,31,0,0,0,0,31
Frankston,Dutch,106,0,0,0,5,0,0,0,2,3
Frankston,French,194,0,0,0,181,0,0,0,1,180
Frankston,German,142,0,0,0,106,0,0,0,1,105
Frankston,Hungarian,1,0,0,0,1,0,0,0,0,1
Frankston,Indonesian,2,0,0,0,2,0,0,0,0,2
Frankston,Italian,83,0,0,0,57,0,0,0,1,56
Frankston,Japanese,81,0,0,0,81,0,0,0,0,81
Frankston,Korean,4,0,0,0,4,0,0,0,0,4
Frankston,Malayalam,1,0,0,0,1,0,0,0,0,1
Frankston,Norwegian,1,0,0,0,1,0,0,0,0,1
Frankston,Portuguese,19,0,0,0,19,0,0,0,0,19
Frankston,Russian,47,0,0,0,47,0,0,0,0,47
Frankston,Spanish,226,0,0,0,226,0,0,0,0,226
Frankston,Swedish,30,0,0,0,30,0,0,0,0,30
Frankston,Vietnamese,1,0,0,0,1,0,0,0,0,1
Frankston,Welsh,4,0,0,0,4,0,0,0,0,4
Geelong,Aboriginal languages,39,39,0,0,0,0,0,39,39,0
Geelong,Albanian,2,0,0,2,0,2,0,0,2,0
Geelong,Arabic,143,117,0,26,0,26,0,117,143,0
Geelong,Bengali,12,9,0,3,0,3,0,9,12,0
Geelong,Burmese,16,16,0,0,0,0,0,16,16,0
Geelong,Cantonese,17,0,0,17,0,17,0,0,17,0
