Language,
Chinese,164336
French,13109
German,5190
Greek,34907
Italian,46793
Japanese,8255
Russian,9613
Afrikaans,314
Arabic,12668
Bengali,636
Croatian,5224
Danish,389
Dutch,430
Hungarian,488
Indonesian,398
Korean,4304
Malayalam,136
Norwegian,240
Portuguese,657
Spanish,21633
Swedish,614
Vietnamese,41011
Welsh,27
Bosnian,792
Farsi,2074
Hindi,8936
Macedonian,1438
Maltese,1962
Panjabi,5862
Polish,6930
Serbian,3233
Tamil,3949
Turkish,6393
Gujarati,578
Persian,2848
Sinhalese,14079
Bilingual,4106
Somali,515
Aboriginal languages,41
Albanian,15
Burmese,38
Cantonese,37
Catalan,27
Czech,17
Estonian,8
Finnish,64
Georgian,1
Hebrew,598
Icelandic,38
Karen,7
Kazakh,2
Khmer,1146
Kurdish,13
Lao,1
Lithuanian,5
Mandarin,121
Mongolian,2
Nauvhal,2
Nepali,1202
Romanian,65
Sami,5
Slovak,5
Swahili,32
Swiss German,2
Tagalog,64
Tetum,5
Thai,28
Urdu,2521
Yiddish,1
Yoruba,36
Zulu,13
Marathi,40
Armenian,22
Belarusian,8
Bulgarian,2
Cebuano,4
Kannada,3
Odia,3
Slovenian,18
Ukrainian,41
Uzbek,2
Xhosa,2
Other,2421
African languages,517
Canadian French,10
Filipino,20
Lidepla,12
Telugu,25
Gaelic,1
Latin,364
Flemish,21
Kauma,1
Tiwi,1
Dari,7
