Council,Language,Total,Fiction,NonFiction,DVDs/CDs,Magazines / Newspapers,Adult,YoungAdult,Children,Physical,Digital
Bayside,Chinese,633,277,345,11,1,0,0,41,633,0
Boroondara,Chinese,13235,7770,3765,1576,124,9589,0,3646,13129,106
Brimbank,Chinese,5547,2497,1371,1115,564,5173,0,374,4126,1421
Casey,Chinese,2997,0,0,0,10,0,0,0,0,0
Cardinia,Chinese,2997,0,0,0,10,0,0,0,0,0
Corangamite,Chinese,4,0,1,3,0,4,0,0,4,0
Darebin,Chinese,5802,3041,1155,1190,416,4281,0,1521,5390,412
East Gippsland,Chinese,1801,1556,0,245,0,1196,0,360,1801,0
Frankston,Chinese,159,0,0,0,109,0,0,0,3,106
Greater Geelong,Chinese,161,33,0,89,39,128,0,33,161,0
Glen Eira,Chinese,1620,1618,0,0,2,867,0,753,1611,9
Golden Plains,Chinese,362,155,59,42,106,208,0,154,256,106
Greater Dandenong,Chinese,5454,3421,1284,331,418,4832,0,622,3911,1543
High Country,Chinese,1,0,0,0,1,1,0,0,1,0
High Country,Chinese,1,1,0,0,0,1,0,0,1,0
Hobsons Bay,Chinese,2185,875,524,475,311,1895,0,290,1877,308
Hume,Chinese,614,306,98,201,9,534,0,80,614,0
Kingston,Chinese,2560,1295,185,1072,8,2409,0,151,2522,38
Latrobe,Chinese,197,29,168,0,0,185,0,12,197,0
Latrobe,Chinese,307,0,0,0,307,0,0,0,0,307
Maribyrnong,Chinese,8214,3590,2291,2323,10,7384,0,830,7719,495
Melbourne,Chinese,9125,3653,2971,2060,441,8172,0,953,8708,417
Melton,Chinese,230,53,0,70,107,221,0,9,72,158
Mitchell,Chinese,48,0,0,0,0,0,0,0,48,0
Monash,Chinese,20904,12945,6971,390,598,14869,5347,688,20897,7
Moonee Valley,Chinese,4495,1736,1275,1174,310,3937,0,558,4192,303
Moreland,Chinese,5871,2433,1521,1492,425,5034,0,837,5463,408
Port Phillip,Chinese,1089,585,288,214,2,849,0,240,1089,0
Stonnington,Chinese,1563,1496,0,67,0,494,0,1069,1563,0
Vision,Chinese,7,4,0,0,0,4,0,3,0,7
West Gippsland,Chinese,119,12,0,1,106,103,0,16,13,106
Manningham,Chinese,22660,12876,8405,1065,314,18691,0,3969,22366,294
Whitehorse,Chinese,22660,12876,8405,1065,314,18691,0,3969,22366,294
Wyndham,Chinese,1541,932,495,110,1,1541,0,1,1541,0
Yarra,Chinese,8011,1979,2538,2097,1397,7613,0,398,7598,413
Yarra Ranges,Chinese,11162,4328,3110,1942,24,8111,0,1826,9989,1173
